"date","faultsForward","shortagesForward","mahcines"
"25/10/2022",40,96,83
"26/10/2022",35,107,91
"27/10/2022",31,84,83
"28/10/2022",19,57,86
"29/10/2022",36,49,54
"30/10/2022",43,26,19
"31/10/2022",171,106,64
"01/11/2022",226,155,88
"02/11/2022",287,162,96
"03/11/2022",306,148,93
"04/11/2022",208,160,76
"05/11/2022",152,88,35
"06/11/2022",190,88,54
"07/11/2022",95,49,42
"08/11/2022",200,109,93
"09/11/2022",124,99,74
"10/11/2022",176,133,75
"11/11/2022",137,106,60
"12/11/2022",183,109,42
"13/11/2022",203,145,50
"14/11/2022",230,108,46
"15/11/2022",156,129,67
"16/11/2022",186,134,84
"17/11/2022",217,146,87
"18/11/2022",226,152,78
"19/11/2022",179,95,43
"20/11/2022",164,76,55
"21/11/2022",154,73,42
"22/11/2022",258,158,102
"23/11/2022",187,122,84
"24/11/2022",255,117,97
